Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Predicted_Price,Price_Diff_Percent
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=31&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=36&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=44&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=48&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=60&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=77&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=83&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202303215452233?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=25&postcode=wr117jh&fromsra,Unknown,36995.0,5.9 Volante Seq 2dr (EU4),LINN SOUND SYSTEM BLUETOOTH,2005.0,Convertible,39000.0,5.9L,450BHP,Automatic,Dealer locationOrmskirk,3.0,"We are delighted to offer for sale this beautiful low milage Aston Martin DB9 Volante.  This fine motor car is finished in Metallic Grey with Black Leather Upholstery with Bamboo Interior Trim.  The specification consists of Satellite Navigation System, Linn Upgraded Sound System, Climate Control…",45846.715,23.92678740370319
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311113857626?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=43&postcode=wr117jh&fromsra,Unknown,38995.0,5.9 Volante Seq 2dr (EU4),"Only 31,750 Miles",2007.0,Convertible,31750.0,5.9L,450BHP,Automatic,Dealer locationPulborough,2.0,"First registered July 2007 (07) Reg, this fabulous two owner DB9 Volante has just 31,750 miles recorded. Supplied by us in November 2019 to the second keeper with 29,550 miles recorded. It is finished in ever popular Meteorite Silver with Obsidian Black leather and Piano Black Veneers. In excellent…",45846.715,17.570752660597503
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202305177466203?sort=relevance&twcs=true&advertising-location=at_cars&make=Aston%20Martin&page=24&postcode=wr117jh&fromsra,Unknown,34995.0,5.9 Volante Seq 2dr (EU4),Cream Int. - Finance Available,2006.0,Convertible,42200.0,5.9L,450BHP,Automatic,Dealer locationSt Albans,,,45846.715,31.009329904272033
