Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202310233263796?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,28950.0,4.3 V8 Roadster Sportshift Euro 4 2dr,*EXTENSIVE DOCUMENTED HISTORY*,2007.0,Convertible,46520.0,4.3L,379BHP,Automatic,Dealer locationBourne End,,"Select Performance Are Delighted To Offer This Stunning Aston Martin V8 Vantage Roadster, Finished In Onyx Black With Obsidian Black Leather.. Factory Options Include, Carbon Style Front Splitter, 19"" Alloys, Sat Nav, Bluetooth Telephone Prep, Xenon HID Headlamps, LED Rear Lamps, 160w Audio System…"
Aston Martin Virage,https://www.autotrader.co.uk/car-details/202304066023274?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,44950.0,5.3 2dr,A STUNNING NICE SPEC VIRAGE,1992.0,Coupe,31500.0,5.3L,330BHP,Automatic,Dealer locationMarlow,6.0,"A STUNNING 1992 ASTON MARTIN V8 VIRAGE IN CANNOCK BLACK WITH LIGHT GREY FULL LEATHER INTERIOR. ONLY 31,500 MILES WITH GOOD SERVICE HISTORY AND JUST HAD A FULL MAJOR SERVICE. UNMARKED CANNOCK BLACK PAINT WORK WITH NICELY DETAILED ENGINE BAY. BRAND NEW FACTORY VANTAGE ALLOYS WITH NEW TYRES. EXCELLENT…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202310092825850?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Private seller,20500.0,4.3 V8 Euro 4 2dr,Full AM Service History,2006.0,Coupe,111006.0,4.3L,385PS,Manual,Unknown,4.0,"The 2006 Aston Martin Vantage is a truly remarkable vehicle that exudes both elegance and power. With its sleek and timeless design, this car is sure to turn heads wherever you go. It is equipped with a powerful 4.8 Ltr V8 engine that delivers an exhilarating driving experience, allowing you to…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311234220887?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Finance available,34995.0,4.3 V8 Roadster Sportshift Euro 4 2dr,BEAUTIFUL COLOURWAY+ BIG SPEC!,2008.0,Convertible,49000.0,4.3L,380BHP,Automatic,Dealer locationSwindon,,"This stunning Goodwood Green Aston Martin V8 Vantage is the ultimate brute in a suit! Packing a 4.3 V8 producing 380BHP within its beautiful shell, this car has the bite to match the looks. Displayed in the perfect colour combination and further in a great condition throughout and also driving spot…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311184076949?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Private seller,80000.0,6.0 V12 Centenary Euro 5 2dr,1 of 1 Specification,2009.0,Coupe,31000.0,6.0L,517PS,Manual,Unknown,2.0,"1 of 1 specification 6 speed manual V12 Vantage. 31,000 miles with 2 owners and a full Aston Martin Works history. I have the full history file with every invoice and receipt. This car has been loved and cherished and I've owned it since around 5000 miles - purchased from Aston at Mayfair. The…"
Aston Martin DB11,https://www.autotrader.co.uk/car-details/202310273408855?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Finance available,78995.0,4.0 V8 Volante Auto Euro 6 (s/s) 2dr,25k worth of extras,2018.0,Convertible,14261.0,4.0L,503BHP,Automatic,Dealer locationSolihull,,This DB11 offers both speed and sophistication . This Volante will produced a top speed of 186mph and looks fabulous with the Chancellor red / Obsidian black leather with Lunar white exterior. Full Aston Martin service history with the last service completed in August 2023. The new owner will…
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311284358414?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Private seller,26950.0,Apple Car Play Upgrade - 4.3 V8 Roadster 2dr Petrol Sportshift Euro 4 (380 bhp),APPLE CAR PLAY - JUST SERVICED,2008.0,Convertible,50150.0,Automatic,Petrol,5 owners,Unknown,,"Just serviced - Immaculate roadster with apple car play upgrade fitted by Aston Works. Full service history, mix of main dealer and specialist. Black leather interior, carbon fibre front splitter added.   Priced to sell due to low P/x prices in dealers.  New discs and pads 2019 at 36k miles Please…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401165594306?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Approved used,64995.0,V12 GT Touchtronic. Carbon Ceramic Brakes. 16 710 of Optional Extras Full 5.9 2dr,Full AM Service History,2016.0,Coupe,22887.0,5.9L,Automatic,Petrol,Dealer locationSolihull,,"A wonderful example of this very rare DB9, great specification finished in Skyfall Silver with Phantom Grey Leather, Carbon Fibre Mirrors, Side Gills and Interior Facia Trim. We're delighted to offer this stunning DB9 GT finished in Skyfall Silver with Phantom Grey Leather Upholstery. Additional…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202310243289611?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=4&postcode=wr117jh&fromsra,Finance available,72500.0,4.0 V8 Auto Euro 6 2dr,"1 owner, FSH.",2018.0,Coupe,16210.0,4.0L,503BHP,Automatic,Dealer locationBrentwood,,"Stunning Vantage Coupe in Hyper Red with Phantom Grey Interior and Spicy Red stitching. 12 months Premium Aston Martin Warranty included. Stunning Vantage Coupe with Red on Red colour combination. Options include: Aston Martin Audio, Stainless Steel - Twin - Matte Black Exhausts, Exterior Black…"
