Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Bentley,https://www.autotrader.co.uk/car-details/202403067273614?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,135189.0,Continental,COMFORT PK | ROTATING DISPLAY,2019.0,Convertible,,6.0L,626BHP,Automatic,Petrol,,6.0 W12 GTC Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202402026147102?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,69995.0,Bentayga,£30k  In Spec Mulliner Driving,2018.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401306031907?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,97995.0,Bentayga,,2018.0,SUV,,4.0L,435PS,Automatic,Diesel,,4.0d V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401025186619?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,54995.0,Continental,X3 Keys - Full service History,2016.0,Coupe,,4.0L,528PS,Automatic,Petrol,,4.0 V8 GT S Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202402026150334?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,79995.0,Bentayga,Touring Specification/7 Seat,2017.0,SUV,,4.0L,435PS,Automatic,Diesel,,4.0d V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401195715880?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,139990.0,Bentayga,FIRST EDITION | MULLINER SPEC,2021.0,SUV,,3.0L,449PS,Automatic,Petrol Plug-in Hybrid,,3.0 TFSi V6 17.3kWh First Edition Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202310213203357?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,64950.0,Bentayga,STUNNING SPEC AND COLOUR,2016.0,SUV,,6.0L,608PS,Automatic,Petrol,,6.0 W12 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401235813493?sort=relevance&advertising-location=at_cars&make=Bentley&page=97&postcode=WR3%207AE&fromsra,,129500.0,Continental,Rotating Bentley Screen,2021.0,Coupe,,4.0L,550PS,Automatic,Petrol,,4.0 V8 GT Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202403047182434?sort=relevance&advertising-location=at_cars&make=Bentley&page=97&postcode=WR3%207AE&fromsra,,99950.0,Bentayga,,2019.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202307189777468?sort=relevance&advertising-location=at_cars&make=Bentley&page=97&postcode=WR3%207AE&fromsra,,26995.0,Continental,"STUNNING CONDITION, F/S/H,",2007.0,Convertible,,6.0L,560PS,Automatic,Petrol,,6.0 W12 GTC Auto 4WD Euro 4 2dr
